result_type,fold,k,model,accuracy,macro_f1,mae
cv_fold,5,3,stacking_lsvc_logreg_rf,0.5061317449194114,0.3143347129820402,0.9584928036224463
cv_fold,5,3,ridge_regression_round,0.31138483100641473,0.2637751579394202,0.9634116759204355
cv_fold,5,3,ordinal_logistic,0.48993315724219716,0.30146450795163965,1.0381246294000324
cv_fold,5,3,xgboost_cls,0.5058756940326667,0.3196456328031974,0.9567678292275349
cv_fold,5,5,multinomial_logreg,0.4930731496954342,0.3059294893915493,1.0175597002856989
cv_fold,5,5,random_forest_cls,0.48289849603794943,0.388834524278238,0.8880383806802867
cv_fold,5,5,hist_gradient_boosting,0.5097029809713762,0.3319769604281153,0.9315400787019568
cv_fold,5,5,bagging_linear,0.49284405153361005,0.30480147101792515,1.0197563473667188
cv_fold,5,5,stacking_lsvc_logreg_rf,0.5106867554309741,0.3298704570210005,0.9293299552584766
cv_fold,5,5,ridge_regression_round,0.31599374696781846,0.26743554626879684,0.9573203600884049
cv_fold,5,5,ordinal_logistic,0.48893590642013907,0.31378060427816246,1.021696943560994
cv_fold,5,5,xgboost_cls,0.5081262465635276,0.3281294432934616,0.9444234812139507
cv_fold,5,8,multinomial_logreg,0.5086113956120963,0.31249463693449553,0.9639507304188454
cv_fold,5,8,random_forest_cls,0.5050536359225918,0.40219172136868264,0.8264244515120479
cv_fold,5,8,hist_gradient_boosting,0.5278286884804053,0.35446232253672044,0.8572853215460083
cv_fold,5,8,bagging_linear,0.508422726537653,0.3112738971483146,0.9653792248396312
cv_fold,5,8,stacking_lsvc_logreg_rf,0.5248504123766913,0.34861853130724735,0.8689019459867393
cv_fold,5,8,ridge_regression_round,0.32603363700070076,0.2775893298071898,0.9312301223653712
cv_fold,5,8,ordinal_logistic,0.5053905449840979,0.3291470519627452,0.9548811384831006
cv_fold,5,8,xgboost_cls,0.5255916123120048,0.3471285198114579,0.8707886367311736
cv_fold,5,10,multinomial_logreg,0.5110236644924802,0.3126446013433163,0.9544498948843728
cv_fold,5,10,random_forest_cls,0.5131933588485796,0.40291063426508805,0.8109805401326075
cv_fold,5,10,hist_gradient_boosting,0.5305104846099941,0.35955251072608324,0.8418414101665679
cv_fold,5,10,bagging_linear,0.5108754245054175,0.31132573439596684,0.9561883456417444
cv_fold,5,10,stacking_lsvc_logreg_rf,0.5274513503315185,0.3559395279432441,0.8519486820117513
cv_fold,5,10,ridge_regression_round,0.3285941458681473,0.280052997074678,0.9268098754784109
cv_fold,5,10,ordinal_logistic,0.50826101018813,0.3295792753014067,0.947078324618619
cv_fold,5,10,xgboost_cls,0.5295536628753167,0.3517904104852877,0.8560994016495068
cv_fold,1,3,linear_svc,0.49963074965904986,0.2821877656824816,1.007546722296791
cv_fold,1,5,linear_svc,0.5079968303766353,0.2829731436488033,0.9859630965279687
cv_fold,2,3,linear_svc,0.508700339604334,0.27762376843183373,0.9802544337232494
cv_fold,2,5,linear_svc,0.5098593067759151,0.2788398557674016,0.9709988679855533
